indicator_id,indicator_name,type,category,is_active,disaggregation_count,organizations
9,"Number of people screened for STIs [DUPLICATE->186]",number,hiv_prevention,true,0,"TEBELOPELE"
121,"Number of people screened for STIs [DUPLICATE->186]",number,other,true,5,"TEBELOPELE"
14,"Number of people sensitised on basic human rights and HIV [DUPLICATE->202]",number,hiv_prevention,true,0,"TEBELOPELE"
202,"Number of people sensitised on basic human rights and HIV.",number,events,true,14,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
205,"Number of people sensitised on basic human rights and HIV. [DUPLICATE->202]",number,events,true,0,"BOFWA"
244,"Number of people sensitised on basic human rights and HIV. [DUPLICATE->202]",number,events,true,0,"BOFWA"
80,"Number of people sensitised on basic human rights and HIV. [DUPLICATE->202]",number,hiv_prevention,true,0,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
128,"Number of people sensitised on basic human rights and HIV. [DUPLICATE->202]",number,other,true,5,"TEBELOPELE"
50,"Number of people tested for HIV",number,hiv_prevention,true,1,"TEBELOPELE"
100,"Number of people tested for HIV. [DUPLICATE->50]",number,other,true,1,"TEBELOPELE"
41,"Number of people utilizing community based physical activity clubs",number,events,true,0,"TEBELOPELE"
46,"Number of people who attended cervical cancer awareness activities",number,ncd,true,0,"TEBELOPELE"
47,"Number of people who attended Mental health Day activities",number,ncd,true,0,"TEBELOPELE"
48,"Number of people who attended Mo-Vember Day activities",number,events,true,0,"TEBELOPELE"
45,"Number of people who attended the Breast Cancer Month activities",number,ncd,true,0,"TEBELOPELE"
44,"Number of people who attended World Diabetes Day activities",number,ncd,true,0,"TEBELOPELE"
180,"Number of People who received psychosocial support on GBV",number,events,true,4,"BOFWA"
183,"Number of People who received psychosocial support on GBV [DUPLICATE->180]",number,events,true,0,"BOFWA"
