indicator_code,indicator_name,sex,age_band,value
6,Number of people reached with stigma reduction messages.,Male,65+,88
6,Number of people reached with stigma reduction messages.,Female,10-14,171
6,Number of people reached with stigma reduction messages.,Female,15-19,232
6,Number of people reached with stigma reduction messages.,Female,20-24,318
6,Number of people reached with stigma reduction messages.,Female,25-29,333
6,Number of people reached with stigma reduction messages.,Female,30-34,342
6,Number of people reached with stigma reduction messages.,Female,35-39,397
6,Number of people reached with stigma reduction messages.,Female,40-44,304
6,Number of people reached with stigma reduction messages.,Female,45-49,258
6,Number of people reached with stigma reduction messages.,Female,50-54,344
6,Number of people reached with stigma reduction messages.,Female,55-59,238
6,Number of people reached with stigma reduction messages.,Female,60-64,92
6,Number of people reached with stigma reduction messages.,Female,65+,47
7,Number  of people referred for HIV testing.,Male,10-14,0
7,Number  of people referred for HIV testing.,Male,15-19,0
7,Number  of people referred for HIV testing.,Male,20-24,23
7,Number  of people referred for HIV testing.,Male,25-29,34
7,Number  of people referred for HIV testing.,Male,30-34,39
7,Number  of people referred for HIV testing.,Male,35-39,53
7,Number  of people referred for HIV testing.,Male,40-44,23
7,Number  of people referred for HIV testing.,Male,45-49,30
7,Number  of people referred for HIV testing.,Male,50-54,12
7,Number  of people referred for HIV testing.,Male,55-59,9
7,Number  of people referred for HIV testing.,Male,60-64,0
7,Number  of people referred for HIV testing.,Male,65+,0
7,Number  of people referred for HIV testing.,Female,10-14,0
7,Number  of people referred for HIV testing.,Female,15-19,0
7,Number  of people referred for HIV testing.,Female,20-24,16
7,Number  of people referred for HIV testing.,Female,25-29,2
7,Number  of people referred for HIV testing.,Female,30-34,2
7,Number  of people referred for HIV testing.,Female,35-39,15
7,Number  of people referred for HIV testing.,Female,40-44,11
7,Number  of people referred for HIV testing.,Female,45-49,12
7,Number  of people referred for HIV testing.,Female,50-54,7
7,Number  of people referred for HIV testing.,Female,55-59,4
7,Number  of people referred for HIV testing.,Female,60-64,0
7,Number  of people referred for HIV testing.,Female,65+,0
8,Number of people tested for HIV.,Male,10-14,0
8,Number of people tested for HIV.,Male,15-19,81
8,Number of people tested for HIV.,Male,20-24,156
8,Number of people tested for HIV.,Male,25-29,232
8,Number of people tested for HIV.,Male,30-34,242
8,Number of people tested for HIV.,Male,35-39,191
8,Number of people tested for HIV.,Male,40-44,170
8,Number of people tested for HIV.,Male,45-49,92
8,Number of people tested for HIV.,Male,50-54,51
8,Number of people tested for HIV.,Male,55-59,25
8,Number of people tested for HIV.,Male,60-64,18
8,Number of people tested for HIV.,Male,65+,24
8,Number of people tested for HIV.,Female,10-14,1
8,Number of people tested for HIV.,Female,15-19,21
8,Number of people tested for HIV.,Female,20-24,65
8,Number of people tested for HIV.,Female,25-29,134
8,Number of people tested for HIV.,Female,30-34,101
8,Number of people tested for HIV.,Female,35-39,81
8,Number of people tested for HIV.,Female,40-44,51
8,Number of people tested for HIV.,Female,45-49,26
8,Number of people tested for HIV.,Female,50-54,15
8,Number of people tested for HIV.,Female,55-59,6
8,Number of people tested for HIV.,Female,60-64,14
8,Number of people tested for HIV.,Female,65+,6
9,Number  of people who tested positive for HIV.,Male,10-14,0
9,Number  of people who tested positive for HIV.,Male,15-19,0
9,Number  of people who tested positive for HIV.,Male,20-24,1
9,Number  of people who tested positive for HIV.,Male,25-29,1
9,Number  of people who tested positive for HIV.,Male,30-34,1
9,Number  of people who tested positive for HIV.,Male,35-39,1
9,Number  of people who tested positive for HIV.,Male,40-44,4
9,Number  of people who tested positive for HIV.,Male,45-49,0
9,Number  of people who tested positive for HIV.,Male,50-54,0
9,Number  of people who tested positive for HIV.,Male,55-59,0
